CIF,COD_ENTE1,COD_ENTE2,COD_ENTE3,COD_ENTE4,COD_ENTE5,COD_ENTE6,Entidad Local,Cif dependiente,COD_ENTE1_DEP,COD_ENTE2_DEP,COD_ENTE3_DEP,COD_ENTE4_DEP,COD_ENTE5_DEP,COD_ENTE6_DEP,DEPENDIENTE,SECTORIZACION,     Fecha sectorización,Participación mayoritaria
P2909100F,01,29,091,A,A,000,Torrox                                                                ,V29539319,01,00,046,N,N,000,Asoc. Centro Desarrollo Rural de la Axarquia (Ceder Axarquia)         , ,01/07/2014,
P2909100F,01,29,091,A,A,000,Torrox                                                                ,P2900049D,01,00,216,C,C,000,C. Creación Parque Maquinaria Caminos Rurales Zona de la Axarquia     , ,01/07/2014,
P2909100F,01,29,091,A,A,000,Torrox                                                                ,P2900078C,01,00,277,C,C,000,C.Provinc.Prest.Serv.Prev.yExtinc.Incendios y Salvamento Oriental     , ,,
P2909100F,01,29,091,A,A,000,Torrox                                                                ,P7909103I,01,29,091,A,V,001,P. M. Deportes                                                        ,AAPP,30/11/2007,
P2909100F,01,29,091,A,A,000,Torrox                                                                ,P7909102A,01,29,091,A,V,002,P. M. Turismo                                                         ,AAPP,30/11/2007,
P2909100F,01,29,091,A,A,000,Torrox                                                                ,P7909104G,01,29,091,A,V,004,O. Aut. Prom. Empleo y Desar. Econ.                                   ,AAPP,30/11/2007,
P2909100F,01,29,091,A,A,000,Torrox                                                                ,A92417997,01,29,091,A,P,001,Empresa Mixta de Limpieza de la Villa de Torrox, ,,S
P2909300B,01,29,093,A,A,000,Valle de Abdalajís                                                    ,G29845112,01,00,045,N,N,000,Grupo de Desarrollo Rual valle del Guadalhorce                        , ,01/07/2014,
P2909400J,01,29,094,A,A,000,Vélez-Málaga                                                          ,V29539319,01,00,046,N,N,000,Asoc. Centro Desarrollo Rural de la Axarquia (Ceder Axarquia)         , ,01/07/2014,
P2909400J,01,29,094,A,A,000,Vélez-Málaga                                                          ,A92143338,01,29,094,A,P,001,"E. M. Serv., Viviendas, Infraestructura y Promoción, S.A.             ",AAPP,01/06/2014,S
